Make,Horsepower_(HP),Torque_(lb_ft),Highway_MPG
Scion,157,156,29.85
MINI,161,155,33.87
Kia,180,171,30.95
Honda,188,175,30.41
Volkswagen,192,210,30.19
Mitsubishi,195,196,26.69
Subaru,205,201,26.53
Saab,223,236,27.53
Lotus,231,168,26.36
Volvo,247,254,25.72
Toyota,253,257,23.94
Acura,263,239,25.85
Mercedes,280,299,23.16
Audi,300,298,25.17
Lexus,302,279,25.25
Infiniti,322,281,24.29
Cadillac,341,325,22.52
BMW,347,350,24.32
Land Rover,374,363,19.54
Porsche,377,330,24
Mercedes-Benz,388,421,20.43
Maserati,423,354,19.42
Jaguar,449,419,22.18
Aston Martin,470,414,18.44
Rolls-Royce,475,540,18.4
Mercedes-AMG,495,513,16.83
AMG,526,528,18.9
Ferrari,540,434,16
Lamborghini,555,398,20
Bentley,577,576,16.22
Maybach,600,721,16
